id,team_name,project,year,wiki
1,iBowu-China,Biocontrol of Soft Rot,2019,https://2019.igem.org/Team:iBowu-China
1,OUC-China,Logitch: Logic Gates and RNA Switch,2020,https://2020.igem.org/Team:OUC-China
